uid,arota,bladder,duodenum,esophagus,gall bladder,left adrenal gland,left kidney,liver,pancreas,postcava,prostate/uterus,right adrenal gland,right kidney,spleen,stomach
amos_0141,0.9544339365472121,0.47119829323219153,0.7724406088482147,0.905244856563315,0.7474635163307852,0.8491142333536957,0.9462888372340614,0.9557085796817323,0.8719864176570459,0.8935758045378599,,0.8229363579080026,0.9488771916537282,0.9323198994422186,0.8867234130897389
amos_0365,0.9296006230799186,0.8356572144759518,0.7586134084110505,0.8914043806368489,0.88846126434324,0.8499308437067773,0.9604708109554088,0.9643301135224094,0.8403798727399071,0.8282953036712261,,0.7884955752212389,0.9496149242857886,0.9562490332972431,0.9281119024590404
amos_0255,0.9040541775630121,0.8899172673247548,0.8165196153930779,0.866765261995245,0.9223779008725246,0.8499438947261042,0.9644439975558632,0.9791685318579734,0.8644778156996588,0.8940034140104237,,0.5602483457233887,0.9620187424102403,0.9670509631280881,0.9595226867324135
amos_0051,0.9179352954792301,0.6442903472460253,0.587365274171977,0.735678762202984,0.7946806367116663,0.5925441465009811,0.7419592744909311,0.9569958233890214,0.750709823963657,0.6932171005493193,,0.670299727520436,0.7558499839726467,0.9290278297284895,0.7982399962048435
amos_0403,0.9522662151601979,0.8476890390442687,0.8528148854961832,0.8025505716798593,0.9578390808320446,0.8571817192600653,0.9637414657192882,0.9749149679379783,0.8948782743578727,0.8728389685892834,,0.8056900726392252,0.9486963031393849,0.9665988789390936,0.9279037447408
amos_0132,0.9068955006916603,0.665899859818123,0.5493997632869301,0.775991924838885,0.6785596299966964,0.6717724288840262,0.9455855237768535,0.9159571017580684,0.7060758938363676,0.6770678553739475,,0.6821885913853318,0.9537863893692115,0.9090870142667409,0.8361499736162809
amos_0177,0.9116581898644508,0.9517784603774475,0.7042148452070123,0.8052010134327645,0.912751677852349,0.8613376835236541,0.9664416922725992,0.9634574154280041,0.8310803752376574,0.9072962908759777,,0.7060185185185185,0.964165272235809,0.9697985135541521,0.9424993338662403
amos_0406,0.8805201300325082,0.6152694610778443,0.6689711078141968,0.6415770609318996,0.8467241033860949,0.34598589183742023,0.7074802808355725,0.9624075335138748,0.7645063477924439,0.8073775883389902,,0.5625920471281296,0.8032771575327928,0.91854793266183,0.9345906570149827
amos_0264,0.9353224536635486,0.6643521676261152,0.7592168697809435,0.921643156798153,0.9134667387777177,0.7786793508673755,0.9589106440841526,0.9683594806558471,0.9040276348669705,0.8239642761133845,,0.7688198154443905,0.9472079778099053,0.9590770542195128,0.7071421206899091
amos_0202,0.9278076114872753,0.849436744822141,0.7296509967441595,0.8626327321759649,0.876127341401372,0.8229885057471265,0.9582962995555947,0.9712589368548479,0.9199818594104309,0.7798968401889819,,0.7335824879871863,0.9529275465644773,0.9647939312170659,0.9442034576963984
amos_0333,0.9339876238070324,0.747262072074461,0.5392559989189398,0.8635181975736569,0.7159000935723026,0.3442221314822376,0.9216551580914802,0.9731435375993905,0.8274983067545102,0.8281195179756696,,0.7638587492602091,0.9230968493993459,0.9653438881256569,0.9069237510955303
amos_0570,0.8929119219149431,,0.13060360042357924,0.6834704165561157,,0.6317388003037205,0.9271467943138961,0.48243169437170025,0.1863996662494785,0.7069751538636881,,0.38404452690166974,0.000894741672019822,0.9245227749841332,0.9156362185879537
amos_0027,0.8967055160516683,0.8670035532932512,0.7634993499084565,0.4691978878551672,0.8198933507454566,0.8028985507246377,0.9561108972912713,0.9725456828175484,0.8068685573893073,0.8738527313706811,,0.8094555873925502,0.9609270451905119,0.9387602128775954,0.9122185786899077
